Date,Open,High,Low,Close
04/04/2023,"102.01","102.28","101.46","101.59"
04/03/2023,"102.63","103.06","101.98","102.09"
03/31/2023,"102.20","102.63","102.05","102.51"
03/30/2023,"102.62","102.78","102.07","102.14"
03/29/2023,"102.49","102.79","102.37","102.64"
03/28/2023,"102.75","102.76","102.38","102.43"
03/27/2023,"103.08","103.23","102.83","102.86"
03/24/2023,"102.60","103.36","102.50","103.12"
03/23/2023,"102.50","102.64","101.92","102.53"
03/22/2023,"103.20","103.27","102.07","102.35"
03/21/2023,"103.31","103.52","103.00","103.26"
03/20/2023,"103.66","103.96","103.28","103.28"
03/17/2023,"104.41","104.45","103.69","103.71"
03/16/2023,"104.62","104.74","104.20","104.42"
03/15/2023,"103.74","105.10","103.44","104.65"
03/14/2023,"103.67","104.05","103.50","103.60"
03/13/2023,"104.17","104.39","103.48","103.60"
03/10/2023,"105.13","105.35","104.04","104.58"
03/09/2023,"105.62","105.73","105.15","105.31"
03/08/2023,"105.67","105.88","105.37","105.66"
03/07/2023,"104.30","105.65","104.12","105.62"
03/06/2023,"104.53","104.69","104.16","104.35"
03/03/2023,"104.94","105.00","104.49","104.52"
03/02/2023,"104.39","105.18","104.39","105.03"
03/01/2023,"105.04","105.09","104.09","104.48"
02/28/2023,"104.63","105.00","104.42","104.87"
02/27/2023,"105.23","105.36","104.55","104.67"
02/24/2023,"104.56","105.32","104.42","105.21"
02/23/2023,"104.50","104.78","104.31","104.60"
02/22/2023,"104.13","104.60","104.01","104.59"
02/21/2023,"103.91","104.26","103.77","104.18"
02/20/2023,"103.91","104.09","103.76","103.88"
02/17/2023,"104.20","104.67","103.84","103.86"
02/16/2023,"103.88","104.23","103.53","103.86"
02/15/2023,"103.21","104.11","103.16","103.92"
02/14/2023,"103.22","103.52","102.59","103.23"
02/13/2023,"103.58","103.84","103.24","103.35"
02/10/2023,"103.26","103.68","102.90","103.63"
02/09/2023,"103.43","103.55","102.64","103.22"
02/08/2023,"103.27","103.52","103.00","103.41"
02/07/2023,"103.54","103.96","103.00","103.43"
